"2014 rank";"City";"State[5]";"2014 estimate";"2010 Census";"Change";"2014 land area";"2010 population density";"Location"
148;"Peoria";"Arizona";166934;154065;8.35%;"174.4 sq mi
451.7 km2";"883 per sq mi
341 km−2";"33.7877°N 112.3111°W"
149;"Springfield";"Missouri";165378;159498;3.69%;"81.7 sq mi
211.7 km2";"1,952 per sq mi
754 km−2";"37.1942°N 93.2913°W"
150;"Pembroke Pines";"Florida";164626;154019;6.89%;"33.1 sq mi
85.8 km2";"4,672 per sq mi
1,804 km−2";"26.0212°N 80.3404°W"
151;"Elk Grove";"California";163553;153015;6.89%;"42.2 sq mi
109.3 km2";"3,627 per sq mi
1,400 km−2";"38.4144°N 121.3849°W"
152;"Salem";"Oregon";161637;154637;4.53%;"47.9 sq mi
124.0 km2";"3,229 per sq mi
1,247 km−2";"44.9237°N 123.0231°W"
153;"Corona";"California";161486;152374;5.98%;"38.8 sq mi
100.6 km2";"3,925 per sq mi
1,515 km−2";"33.8624°N 117.5639°W"
154;"Lancaster";"California";161043;156633;2.82%;"94.3 sq mi
244.2 km2";"1,661 per sq mi
641 km−2";"34.6936°N 118.1753°W"
155;"Eugene";"Oregon";160561;156185;2.80%;"43.7 sq mi
113.2 km2";"3,572 per sq mi
1,379 km−2";"44.0567°N 123.1162°W"
156;"Palmdale";"California";158279;152750;3.62%;"106.0 sq mi
274.4 km2";"1,442 per sq mi
557 km−2";"34.5913°N 118.1090°W"
157;"McKinney";"Texas";156767;131117;19.56%;"62.2 sq mi
161.1 km2";"2,108 per sq mi
814 km−2";"33.2012°N 96.6680°W"
158;"Salinas";"California";156677;150441;4.15%;"23.2 sq mi
60.0 km2";"6,490 per sq mi
2,506 km−2";"36.6902°N 121.6337°W"
159;"Fort Collins";"Colorado";156480;143986;8.68%;"54.3 sq mi
140.6 km2";"2,653 per sq mi
1,024 km−2";"40.5482°N 105.0648°W"
160;"Cary[25]";"North Carolina";155227;135234;14.78%;"54.3 sq mi
140.8 km2";"2,488 per sq mi
961 km−2";"35.7821°N 78.8141°W"
161;"Hayward";"California";154612;144186;7.23%;"45.3 sq mi
117.4 km2";"3,181 per sq mi
1,228 km−2";"37.6281°N 122.1063°W"
162;"Springfield";"Massachusetts";153991;153060;0.61%;"31.9 sq mi
82.5 km2";"4,803 per sq mi
1,855 km−2";"42.1155°N 72.5400°W"
163;"Pasadena";"Texas";153887;149043;3.25%;"42.8 sq mi
110.8 km2";"3,485 per sq mi
1,346 km−2";"29.6583°N 95.1505°W"
164;"Macon[26]";"Georgia";153691;91351;68.24%;"255.1 sq mi
661 km2";"614 per sq mi
237 km−2";"32.505°N 83.396°W"
165;"Pomona";"California";153350;149058;2.88%;"23.0 sq mi
59.4 km2";"6,494 per sq mi
2,508 km−2";"34.0586°N 117.7613°W"
166;"Alexandria[15]";"Virginia";150575;139966;7.58%;"15.0 sq mi
38.9 km2";"9,314 per sq mi
3,596 km−2";"38.8183°N 77.0820°W"
167;"Escondido";"California";150243;143911;4.40%;"36.8 sq mi
95.3 km2";"3,909 per sq mi
1,509 km−2";"33.1336°N 117.0732°W"
168;"Sunnyvale";"California";149980;140081;7.07%;"22.0 sq mi
56.9 km2";"6,371 per sq mi
2,460 km−2";"37.3858°N 122.0263°W"
169;"Lakewood";"Colorado";149643;142980;4.66%;"42.9 sq mi
111.1 km2";"3,334 per sq mi
1,287 km−2";"39.6989°N 105.1176°W"
170;"Kansas City[27]";"Kansas";149636;145786;2.64%;"124.8 sq mi
323.3 km2";"1,168 per sq mi
451 km−2";"39.1225°N 94.7418°W"
171;"Rockford";"Illinois";149123;152871;"−2.45%";"61.1 sq mi
158.2 km2";"2,503 per sq mi
966 km−2";"42.2634°N 89.0628°W"
172;"Torrance";"California";148495;145438;2.10%;"20.5 sq mi
53.0 km2";"7,102 per sq mi
2,742 km−2";"33.8350°N 118.3414°W"
173;"Hollywood";"Florida";148047;140768;5.17%;"27.4 sq mi
70.9 km2";"5,144 per sq mi
1,986 km−2";"26.0311°N 80.1646°W"
174;"Joliet";"Illinois";147928;147433;0.34%;"62.1 sq mi
160.9 km2";"2,374 per sq mi
916 km−2";"41.5181°N 88.1584°W"
175;"Bridgeport";"Connecticut";147612;144229;2.35%;"16.0 sq mi
41.4 km2";"9,029 per sq mi
3,486 km−2";"41.1874°N 73.1957°W"
176;"Clarksville";"Tennessee";146806;132929;10.44%;"97.6 sq mi
252.8 km2";"1,362 per sq mi
526 km−2";"36.5664°N 87.3452°W"
177;"Paterson";"New Jersey";146753;146199;0.38%;"8.4 sq mi
21.8 km2";"17,346 per sq mi
6,697 km−2";"40.9147°N 74.1628°W"
178;"Naperville";"Illinois";146128;141853;3.01%;"38.8 sq mi
100.4 km2";"3,659 per sq mi
1,413 km−2";"41.7492°N 88.1620°W"
179;"Frisco";"Texas";145035;116989;23.97%;"61.8 sq mi
160.1 km2";"1,893 per sq mi
731 km−2";"33.1510°N 96.8193°W"
180;"Mesquite";"Texas";144416;139824;3.28%;"46.0 sq mi
119.2 km2";"3,038 per sq mi
1,173 km−2";"32.7639°N 96.5924°W"
181;"Savannah";"Georgia";144352;136286;5.92%;"103.2 sq mi
267.2 km2";"1,321 per sq mi
510 km−2";"32.0025°N 81.1536°W"
182;"Syracuse";"New York";144263;145170;"−0.62%";"25.0 sq mi
64.9 km2";"5,797 per sq mi
2,238 km−2";"43.0410°N 76.1436°W"
183;"Dayton";"Ohio";141003;141527;"−0.37%";"55.7 sq mi
144.1 km2";"2,543 per sq mi
982 km−2";"39.7774°N 84.1996°W"
184;"Pasadena";"California";140881;137122;2.74%;"23.0 sq mi
59.5 km2";"5,970 per sq mi
2,305 km−2";"34.1606°N 118.1396°W"
185;"Orange";"California";139812;136416;2.49%;"24.8 sq mi
64.2 km2";"5,501 per sq mi
2,124 km−2";"33.8048°N 117.8249°W"
186;"Fullerton";"California";139677;135161;3.34%;"22.4 sq mi
57.9 km2";"6,047 per sq mi
2,335 km−2";"33.8857°N 117.9280°W"
187;"McAllen";"Texas";138596;129877;6.71%;"48.3 sq mi
125.2 km2";"2,687 per sq mi
1,037 km−2";"26.2185°N 98.2461°W"
188;"Killeen";"Texas";138154;127921;8.00%;"53.6 sq mi
138.8 km2";"2,387 per sq mi
922 km−2";"31.0777°N 97.7320°W"
189;"Hampton[15]";"Virginia";136879;137436;"−0.41%";"51.4 sq mi
133.2 km2";"2,673 per sq mi
1,032 km−2";"37.0480°N 76.2971°W"
190;"Bellevue";"Washington";136426;122363;11.49%;"32.0 sq mi
82.8 km2";"3,828 per sq mi
1,478 km−2";"47.5978°N 122.1565°W"
191;"Warren";"Michigan";135099;134056;0.78%;"34.4 sq mi
89.0 km2";"3,899 per sq mi
1,505 km−2";"42.4929°N 83.0250°W"
192;"Miramar";"Florida";134989;122041;10.61%;"29.5 sq mi
76.5 km2";"4,134 per sq mi
1,596 km−2";"25.9770°N 80.3358°W"
193;"West Valley City";"Utah";134495;129480;3.87%;"35.6 sq mi
92.1 km2";"3,642 per sq mi
1,406 km−2";"40.6885°N 112.0118°W"
194;"Olathe";"Kansas";133062;125872;5.71%;"59.7 sq mi
154.5 km2";"2,110 per sq mi
815 km−2";"38.8843°N 94.8188°W"
195;"Columbia";"South Carolina";132067;129272;2.16%;"132.2 sq mi
342.4 km2";"978 per sq mi
378 km−2";"34.0298°N 80.8966°W"
196;"Sterling Heights";"Michigan";131741;129699;1.57%;"36.5 sq mi
94.5 km2";"3,553 per sq mi
1,372 km−2";"42.5812°N 83.0303°W"
197;"Thornton";"Colorado";130307;118772;9.71%;"34.8 sq mi
90.2 km2";"3,409 per sq mi
1,316 km−2";"39.9180°N 104.9454°W"
198;"New Haven";"Connecticut";130282;129779;0.39%;"18.7 sq mi
48.4 km2";"6,948 per sq mi
2,683 km−2";"41.3108°N 72.9250°W"
199;"Waco";"Texas";130194;124805;4.32%;"89.0 sq mi
230.4 km2";"1,403 per sq mi
542 km−2";"31.5601°N 97.1860°W"
200;"Charleston";"South Carolina";130113;120083;8.35%;"109.0 sq mi
282.3 km2";"1,102 per sq mi
425 km−2";"32.8179°N 79.9589°W"
201;"Thousand Oaks";"California";129342;126683;2.10%;"55.0 sq mi
142.5 km2";"2,302 per sq mi
889 km−2";"34.1933°N 118.8742°W"
202;"Visalia";"California";129281;124442;3.89%;"36.2 sq mi
93.9 km2";"3,433 per sq mi
1,326 km−2";"36.3272°N 119.3234°W"
203;"Cedar Rapids";"Iowa";129195;126326;2.27%;"70.8 sq mi
183.4 km2";"1,784 per sq mi
689 km−2";"41.9670°N 91.6778°W"
204;"Elizabeth";"New Jersey";128705;124969;2.99%;"12.3 sq mi
31.9 km2";"10,144 per sq mi
3,917 km−2";"40.6663°N 74.1935°W"
205;"Roseville";"California";128615;118788;8.27%;"36.2 sq mi
93.8 km2";"3,279 per sq mi
1,266 km−2";"38.7657°N 121.3032°W"
206;"Gainesville";"Florida";128460;124354;3.30%;"61.3 sq mi
158.8 km2";"2,028 per sq mi
783 km−2";"29.6788°N 82.3459°W"
207;"Carrollton";"Texas";128353;119097;7.77%;"36.3 sq mi
94.0 km2";"3,281 per sq mi
1,267 km−2";"32.9884°N 96.8998°W"
208;"Stamford";"Connecticut";128278;122643;4.59%;"37.6 sq mi
97.5 km2";"3,258 per sq mi
1,258 km−2";"41.0799°N 73.5460°W"
209;"Denton";"Texas";128205;113383;13.07%;"88.0 sq mi
227.8 km2";"1,289 per sq mi
498 km−2";"33.2151°N 97.1417°W"
210;"Midland";"Texas";128037;111147;15.20%;"72.1 sq mi
186.7 km2";"1,542 per sq mi
595 km−2";"32.0299°N 102.1097°W"
211;"Coral Springs";"Florida";127952;121096;5.66%;"23.8 sq mi
61.6 km2";"5,090 per sq mi
1,965 km−2";"26.2708°N 80.2593°W"
212;"Concord";"California";127522;122067;4.47%;"30.5 sq mi
79.1 km2";"3,996 per sq mi
1,543 km−2";"37.9722°N 122.0016°W"
213;"Topeka";"Kansas";127215;127473;"−0.20%";"60.2 sq mi
155.8 km2";"2,119 per sq mi
818 km−2";"39.0362°N 95.6948°W"
214;"Simi Valley";"California";126871;124237;2.12%;"41.5 sq mi
107.4 km2";"2,995 per sq mi
1,156 km−2";"34.2669°N 118.7485°W"
215;"Surprise";"Arizona";126275;117517;7.45%;"105.7 sq mi
273.9 km2";"1,111 per sq mi
429 km−2";"33.6706°N 112.4527°W"
216;"Lafayette[28]";"Louisiana";126066;120623;4.51%;"49.2 sq mi
127.5 km2";"2,450 per sq mi
946 km−2";"30.2116°N 92.0314°W"
217;"Kent";"Washington";125560;92411;35.87%;"28.6 sq mi
74.1 km2";"3,228 per sq mi
1,246 km−2";"47.3853°N 122.2169°W"
218;"Hartford";"Connecticut";124705;124775;"−0.06%";"17.4 sq mi
45.0 km2";"7,179 per sq mi
2,772 km−2";"41.7660°N 72.6833°W"
219;"Santa Clara";"California";122192;116468;4.91%;"18.4 sq mi
47.7 km2";"6,327 per sq mi
2,443 km−2";"37.3646°N 121.9679°W"
220;"Victorville";"California";121901;115903;5.18%;"73.2 sq mi
189.5 km2";"1,584 per sq mi
612 km−2";"34.5277°N 117.3536°W"
221;"Abilene";"Texas";120958;117063;3.33%;"106.8 sq mi
276.6 km2";"1,096 per sq mi
423 km−2";"32.4545°N 99.7381°W"
222;"Murfreesboro";"Tennessee";120954;108755;11.22%;"55.3 sq mi
143.3 km2";"1,965 per sq mi
759 km−2";"35.8522°N 86.4161°W"
223;"Evansville";"Indiana";120346;117429;2.48%;"44.2 sq mi
114.4 km2";"2,660 per sq mi
1,027 km−2";"37.9877°N 87.5347°W"
224;"Vallejo";"California";120228;115942;3.70%;"30.7 sq mi
79.4 km2";"3,780 per sq mi
1,460 km−2";"38.1079°N 122.2639°W"
225;"Athens[29]";"Georgia";119648;115452;3.63%;"116.4 sq mi
301.4 km2";"992 per sq mi
383 km−2";"33.9496°N 83.3701°W"
226;"Allentown";"Pennsylvania";119104;118032;0.91%;"17.5 sq mi
45.4 km2";"6,727 per sq mi
2,597 km−2";"40.5940°N 75.4782°W"
227;"Berkeley";"California";118853;112580;5.57%;"10.5 sq mi
27.1 km2";"10,752 per sq mi
4,152 km−2";"37.8667°N 122.2991°W"
228;"Norman";"Oklahoma";118040;110925;6.41%;"178.8 sq mi
463.0 km2";"621 per sq mi
240 km−2";"35.22°N 97.44°W"
229;"Ann Arbor";"Michigan";117770;113934;3.37%;"27.8 sq mi
72.1 km2";"4,094 per sq mi
1,581 km−2";"42.2756°N 83.7313°W"
230;"Beaumont";"Texas";117585;118296;"−0.60%";"82.8 sq mi
214.5 km2";"1,429 per sq mi
552 km−2";"30.0843°N 94.1458°W"
231;"Independence";"Missouri";117494;116830;0.57%;"77.6 sq mi
200.9 km2";"1,506 per sq mi
582 km−2";"39.0853°N 94.3513°W"
232;"Columbia";"Missouri";116906;108500;7.75%;"63.1 sq mi
163.4 km2";"1,720 per sq mi
664 km−2";"38.9479°N 92.3261°W"
233;"Springfield";"Illinois";116809;116250;0.48%;"59.5 sq mi
154.1 km2";"1,954 per sq mi
755 km−2";"39.7639°N 89.6708°W"
234;"El Monte";"California";116631;113475;2.78%;"9.6 sq mi
24.8 km2";"11,867 per sq mi
4,582 km−2";"34.0746°N 118.0291°W"
235;"Fargo";"North Dakota";115863;105549;9.77%;"48.8 sq mi
126.4 km2";"2,162 per sq mi
835 km−2";"46.8652°N 96.8290°W"
236;"Peoria";"Illinois";115828;115007;0.71%;"48.0 sq mi
124.3 km2";"2,396 per sq mi
925 km−2";"40.7523°N 89.6171°W"
237;"Provo";"Utah";114801;112488;2.06%;"41.7 sq mi
107.9 km2";"2,699 per sq mi
1,042 km−2";"40.2453°N 111.6448°W"
238;"Lansing";"Michigan";114620;114297;0.28%;"36.0 sq mi
93.4 km2";"3,171 per sq mi
1,224 km−2";"42.7098°N 84.5562°W"
239;"Odessa";"Texas";114597;99940;14.67%;"42.0 sq mi
108.7 km2";"2,382 per sq mi
920 km−2";"31.8804°N 102.3434°W"
240;"Downey";"California";114172;111772;2.15%;"12.4 sq mi
32.1 km2";"9,008 per sq mi
3,478 km−2";"33.9382°N 118.1309°W"
241;"Wilmington";"North Carolina";113657;106476;6.74%;"51.5 sq mi
133.4 km2";"2,068 per sq mi
798 km−2";"34.2092°N 77.8858°W"
242;"Arvada";"Colorado";113574;106433;6.71%;"35.1 sq mi
91.0 km2";"3,029 per sq mi
1,169 km−2";"39.8097°N 105.1066°W"
243;"Costa Mesa";"California";112784;109960;2.57%;"15.7 sq mi
40.5 km2";"7,025 per sq mi
2,712 km−2";"33.6659°N 117.9123°W"
244;"Round Rock";"Texas";112744;99887;12.87%;"34.1 sq mi
88.4 km2";"2,928 per sq mi
1,131 km−2";"30.5237°N 97.6674°W"
245;"Carlsbad";"California";112299;105328;6.62%;"37.7 sq mi
97.7 km2";"2,792 per sq mi
1,078 km−2";"33.1239°N 117.2828°W"
246;"Miami Gardens";"Florida";112265;107167;4.76%;"18.2 sq mi
47.2 km2";"5,878 per sq mi
2,270 km−2";"25.9489°N 80.2436°W"
247;"Westminster";"Colorado";112090;106114;5.63%;"31.6 sq mi
81.7 km2";"3,363 per sq mi
1,299 km−2";"39.8822°N 105.0644°W"
248;"Inglewood";"California";111905;109673;2.04%;"9.1 sq mi
23.5 km2";"12,095 per sq mi
4,670 km−2";"33.9561°N 118.3443°W"
249;"Rochester";"Minnesota";111402;106769;4.34%;"54.6 sq mi
141.4 km2";"1,956 per sq mi
755 km−2";"44.0154°N 92.4772°W"
250;"Fairfield";"California";111125;105321;5.51%;"37.4 sq mi
96.8 km2";"2,817 per sq mi
1,088 km−2";"38.2568°N 122.0397°W"
251;"Elgin";"Illinois";111117;108188;2.71%;"37.2 sq mi
96.3 km2";"2,911 per sq mi
1,124 km−2";"42.0396°N 88.3217°W"
252;"West Jordan";"Utah";110920;103712;6.95%;"32.5 sq mi
84.1 km2";"3,195 per sq mi
1,234 km−2";"40.6023°N 112.0010°W"
253;"Clearwater";"Florida";110703;107685;2.80%;"25.6 sq mi
66.2 km2";"4,213 per sq mi
1,627 km−2";"27.9795°N 82.7663°W"
254;"Manchester";"New Hampshire";110448;109565;0.81%;"33.1 sq mi
85.7 km2";"3,310 per sq mi
1,278 km−2";"42.9847°N 71.4439°W"
255;"Lowell";"Massachusetts";109945;106519;3.22%;"13.6 sq mi
35.2 km2";"7,842 per sq mi
3,028 km−2";"42.6389°N 71.3221°W"
256;"Gresham";"Oregon";109892;105594;4.07%;"23.2 sq mi
60.1 km2";"4,551 per sq mi
1,757 km−2";"45.5023°N 122.4416°W"
257;"Cambridge";"Massachusetts";109694;105162;4.31%;"6.4 sq mi
16.5 km2";"16,469 per sq mi
6,359 km−2";"42.3760°N 71.1183°W"
258;"Ventura[30]";"California";109484;106433;2.87%;"21.7 sq mi
56.1 km2";"4,915 per sq mi
1,898 km−2";"34.2681°N 119.2550°W"
259;"Temecula";"California";109428;100097;9.32%;"30.2 sq mi
78.1 km2";"3,320 per sq mi
1,282 km−2";"33.5019°N 117.1246°W"
260;"Waterbury";"Connecticut";109307;110366;"−0.96%";"28.5 sq mi
73.9 km2";"3,870 per sq mi
1,494 km−2";"41.5585°N 73.0367°W"
261;"Antioch";"California";108930;102372;6.41%;"28.3 sq mi
73.4 km2";"3,611 per sq mi
1,394 km−2";"37.9775°N 121.7976°W"
262;"Billings";"Montana";108869;104170;4.51%;"43.4 sq mi
112.4 km2";"2,399 per sq mi
926 km−2";"45.7895°N 108.5499°W"
263;"High Point";"North Carolina";108629;104371;4.08%;"53.8 sq mi
139.3 km2";"1,940 per sq mi
749 km−2";"35.9855°N 79.9902°W"
264;"Richardson";"Texas";108617;99223;9.47%;"28.6 sq mi
74.0 km2";"3,474 per sq mi
1,341 km−2";"32.9723°N 96.7081°W"
265;"Richmond";"California";108565;103701;4.69%;"30.1 sq mi
77.9 km2";"3,449 per sq mi
1,332 km−2";"37.9530°N 122.3594°W"
266;"West Covina";"California";108455;106098;2.22%;"16.0 sq mi
41.5 km2";"6,614 per sq mi
2,554 km−2";"34.0559°N 117.9099°W"
267;"Pueblo";"Colorado";108423;106595;1.71%;"53.6 sq mi
138.9 km2";"1,987 per sq mi
767 km−2";"38.2731°N 104.6124°W"
268;"Murrieta";"California";108368;103466;4.74%;"33.6 sq mi
87.0 km2";"3,081 per sq mi
1,190 km−2";"33.5719°N 117.1907°W"
269;"Centennial";"Colorado";107201;100377;6.80%;"28.7 sq mi
74.4 km2";"3,495 per sq mi
1,349 km−2";"39.5906°N 104.8691°W"
270;"Norwalk";"California";107096;105549;1.47%;"9.7 sq mi
25.1 km2";"10,873 per sq mi
4,198 km−2";"33.9069°N 118.0834°W"
271;"North Charleston";"South Carolina";106749;97471;9.52%;"76.6 sq mi
119.5 km2";"1,393 per sq mi
538 km−2";"32.8853°N 80.0169°W"
272;"Everett";"Washington";106736;103019;3.61%;"33.4 sq mi
86.6 km2";"3,080 per sq mi
1,189 km−2";"48.0033°N 122.1742°W"
273;"Pompano Beach";"Florida";106105;99845;6.27%;"24.0 sq mi
62.2 km2";"4,160 per sq mi
1,606 km−2";"26.2426°N 80.1290°W"
274;"Daly City";"California";106094;101123;4.92%;"7.7 sq mi
19.8 km2";"13,195 per sq mi
5,095 km−2";"37.7009°N 122.4650°W"
275;"Palm Bay";"Florida";105838;103190;2.57%;"65.7 sq mi
170.2 km2";"1,571 per sq mi
606 km−2";"27.9856°N 80.6626°W"
276;"Burbank";"California";105368;103340;1.96%;"17.3 sq mi
44.9 km2";"5,959 per sq mi
2,301 km−2";"34.1890°N 118.3249°W"
277;"Wichita Falls";"Texas";105114;104553;0.54%;"72.1 sq mi
186.8 km2";"1,449 per sq mi
560 km−2";"33.9067°N 98.5259°W"
278;"Boulder";"Colorado";105112;97385;7.93%;"25.7 sq mi
66.5 km2";"3,947 per sq mi
1,524 km−2";"40.0175°N 105.2797°W"
279;"Green Bay";"Wisconsin";104891;104057;0.80%;"45.5 sq mi
117.8 km2";"2,289 per sq mi
884 km−2";"44.5207°N 87.9842°W"
280;"Broken Arrow";"Oklahoma";104726;98850;5.94%;"61.6 sq mi
159.5 km2";"1,605 per sq mi
620 km−2";"36.0365°N 95.7810°W"
281;"West Palm Beach";"Florida";104031;99919;4.12%;"55.3 sq mi
143.2 km2";"1,807 per sq mi
698 km−2";"26.7483°N 80.1266°W"
282;"College Station";"Texas";103483;93857;10.26%;"49.6 sq mi
128.5 km2";"1,978 per sq mi
764 km−2";"30.6013°N 96.3144°W"
283;"Pearland";"Texas";103441;91252;13.36%;"47.5 sq mi
122.9 km2";"1,900 per sq mi
740 km−2";"29.5544°N 95.2958°W"
284;"Santa Maria";"California";103410;99553;3.87%;"22.8 sq mi
58.9 km2";"4,375 per sq mi
1,689 km−2";"34.9332°N 120.4438°W"
285;"El Cajon";"California";103091;99478;3.63%;"14.4 sq mi
37.4 km2";"6,892 per sq mi
2,661 km−2";"32.8017°N 116.9605°W"
286;"San Mateo";"California";102893;97207;5.85%;"15.9 sq mi
41.1 km2";"8,014 per sq mi
3,094 km−2";"37.5542°N 122.3131°W"
287;"Lewisville";"Texas";102889;95290;7.97%;"42.5 sq mi
110.0 km2";"2,618 per sq mi
1,011 km−2";"33.0383°N 97.0061°W"
288;"Rialto";"California";102741;99171;3.60%;"22.4 sq mi
57.9 km2";"4,437 per sq mi
1,713 km−2";"34.1118°N 117.3883°W"
289;"Davenport";"Iowa";102448;99685;2.77%;"62.9 sq mi
163.0 km2";"1,584 per sq mi
611 km−2";"41.5541°N 90.6040°W"
290;"Lakeland";"Florida";102346;97422;5.05%;"74.4 sq mi
193.0 km2";"1,711 per sq mi
661 km−2";"28.0411°N 81.9589°W"
291;"Clovis";"California";102189;95631;6.86%;"23.3 sq mi
60.3 km2";"4,386 per sq mi
1,695 km−2";"36.4931°N 119.4211°W"
292;"Edison[31]";"New Jersey";101970;99967;2.00%;"30.6 sq mi
79.4 km2";"3,339.0 per sq mi
1289 km−2";"40.5040°N 74.3494°W"
293;"Sandy Springs";"Georgia";101908;93853;8.58%;"39.0 sq mi
101.0 km2";"2,613.0 per sq mi
1009 km−2";"33.5615°N 84.227°W"
294;"Tyler";"Texas";101421;96900;4.67%;"54.4 sq mi
140.8 km2";"1,782 per sq mi
688 km−2";"32.35°N 95.30°W"
295;"Las Cruces";"New Mexico";101408;97618;3.88%;"76.3 sq mi
197.6 km2";"1,279 per sq mi
494 km−2";"32.3197°N 106.7653°W"
296;"South Bend";"Indiana";101190;101168;0.02%;"41.5 sq mi
107.4 km2";"2,440 per sq mi
942 km−2";"41.6769°N 86.2690°W"
297;"Woodbridge[31]";"New Jersey";100824;99585;1.24%;"24.5 sq mi
63.5 km2";"4,290.0 per sq mi
1656 km−2";"40.5608°N 74.2926°W"
